Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
Pje Cnel J F Bogado 4561,"17","54900","3513600","3229","206682","1","64",SEGUNDO,ALMAGRO,"5"
BOGADO 4500,"18","53000","3392000","2944","188444","1","64",SEGUNDO,ALMAGRO,"5"
Pte H Yrigoyen 3381,"25","45000","2880000","2500","160000","1","64",SEGUNDO,ALMAGRO,"5"
PASAJE BOGADO 4500,"18","41000","2624000","2278","145778","1","64",SEGUNDO,ALMAGRO,"5"
Estado de Palestina 500,"18","58900","3769600","3272","209422","1","64",SEGUNDO,ALMAGRO,"5"
Mario Bravo al 200 0,"23","60000","3840000","3158","202105","1","64",SEGUNDO,ALMAGRO,"5"
Gascon al 1000 0,"47","75000","4800000","3750","240000","1","64",SEGUNDO,ALMAGRO,"5"
Don Bosco 3586,"42","46900","3001600","2233","142933","1","64",SEGUNDO,ALMAGRO,"5"
Colombres 585,"21","56900","3641600","2710","173410","1","64",SEGUNDO,ALMAGRO,"5"
Capital 0,"26","63000","4032000","2864","183273","1","64",SEGUNDO,ALMAGRO,"5"
COLOMBRES 43,"22","48000","3072000","2182","139636","1","64",SEGUNDO,ALMAGRO,"5"
Rawson 200 0,"22","64000","4096000","2909","186182","1","64",SEGUNDO,ALMAGRO,"5"
Sanchez De Bustamante 515,"24","70000","4480000","3182","203636","1","64",SEGUNDO,ALMAGRO,"5"
SALGUERO 873,"22","59900","3833600","2723","174255","1","64",SEGUNDO,ALMAGRO,"5"
Rawson al 200 0,"23","60000","3840000","2609","166957","1","64",SEGUNDO,ALMAGRO,"5"
QUITO 4300,"26","72700","4652800","3161","202296","1","64",SEGUNDO,ALMAGRO,"5"
PRINGLES 900,"23","65000","4160000","2826","180870","1","64",SEGUNDO,ALMAGRO,"5"
GASCON 1000,"47","105000","6720000","4565","292174","2","64",SEGUNDO,ALMAGRO,"5"
MARIO BRAVO 100,"24","70000","4480000","2917","186667","1","64",SEGUNDO,ALMAGRO,"5"
Bartolome Mitre 3900,"24","49999","3199936","2083","133331","2","64",SEGUNDO,ALMAGRO,"5"
Lavalle 3900 0,"24","55000","3520000","2292","146667","1","64",SEGUNDO,ALMAGRO,"5"
Av M Boedo 563,"24","69000","4416000","2874","183923","1","64",SEGUNDO,ALMAGRO,"5"
GOMEZ VALENTIN al 3800 0,"30","80900","5177600","3236","207104","2","64",SEGUNDO,ALMAGRO,"5"
Yapeyu 506,"28","70000","4480000","2800","179200","1","64",SEGUNDO,ALMAGRO,"5"
PRINGLES 707 0,"47","56000","3584000","2240","143360","1","64",SEGUNDO,ALMAGRO,"5"
Bartolome Mitre  al 3900 0,"25","69000","4416000","2760","176640","1","64",SEGUNDO,ALMAGRO,"5"
Lambare 1000 0,"25","59900","3833600","2396","153344","1","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 4300,"25","62000","3968000","2480","158720","1","64",SEGUNDO,ALMAGRO,"5"
Av M Boedo 400,"78","79000","5056000","3160","202240","1","64",SEGUNDO,ALMAGRO,"5"
Jose E Colombres 411,"29","78000","4992000","3120","199680","1","64",SEGUNDO,ALMAGRO,"5"
Cnel J Pringles 600,"50","57000","3648000","2280","145920","1","64",SEGUNDO,ALMAGRO,"5"
Tte Gral Juan D Peron 3500,"25","65000","4160000","2600","166400","1","64",SEGUNDO,ALMAGRO,"5"
BARTOLOME MITRE al 3900 0,"25","56000","3584000","2240","143360","1","64",SEGUNDO,ALMAGRO,"5"
Rawson 40,"25","69000","4416000","2760","176640","1","64",SEGUNDO,ALMAGRO,"5"
Gral Juan Lavalle 3612,"54","73000","4672000","2808","179692","2","64",SEGUNDO,ALMAGRO,"5"
Humahuaca 4300,"26","75000","4800000","2885","184615","2","64",SEGUNDO,ALMAGRO,"5"
Gascon al 500 0,"32","70000","4480000","2692","172308","2","64",SEGUNDO,ALMAGRO,"5"
Colombres 100,"26","57000","3648000","2192","140308","1","64",SEGUNDO,ALMAGRO,"5"
Dr F Muñiz 1200,"26","60000","3840000","2308","147692","1","64",SEGUNDO,ALMAGRO,"5"
SARMIENTO 3400,"37","70000","4480000","2593","165926","1","64",SEGUNDO,ALMAGRO,"5"
B Mitre 3719,"27","59000","3776000","2185","139852","1","64",SEGUNDO,ALMAGRO,"5"
Don Bosco al 3800 0,"27","69000","4416000","2556","163556","1","64",SEGUNDO,ALMAGRO,"5"
Hipolito Yrigoyen 3300,"27","63000","4032000","2333","149333","1","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 4000,"30","79500","5088000","2944","188444","1","64",SEGUNDO,ALMAGRO,"5"
Treinta Y Tres Orient 53,"27","72900","4665600","2700","172800","1","64",SEGUNDO,ALMAGRO,"5"
Pringles  200 0,"27","72471","4638144","2684","171783","1","64",SEGUNDO,ALMAGRO,"5"
Rawson 100,"27","59500","3808000","2204","141037","1","64",SEGUNDO,ALMAGRO,"5"
Gascón 500,"27","76000","4864000","2815","180148","2","64",SEGUNDO,ALMAGRO,"5"
Pringles 400 0,"30","115000","7360000","4259","272593","1","64",SEGUNDO,ALMAGRO,"5"
Potosi 4300 0,"27","98000","6272000","3630","232296","2","64",SEGUNDO,ALMAGRO,"5"
MEXICO 3600 0,"38","85000","5440000","3148","201481","2","64",SEGUNDO,ALMAGRO,"5"
Pringles  281 0,"27","73200","4684800","2711","173511","1","64",SEGUNDO,ALMAGRO,"5"
B Mitre 3700,"27","73500","4704000","2722","174222","1","64",SEGUNDO,ALMAGRO,"5"
Pringles  200 0,"27","73740","4719360","2731","174791","1","64",SEGUNDO,ALMAGRO,"5"
"MITRE, BARTOLOME 3700","27","72000","4608000","2667","170667","2","64",SEGUNDO,ALMAGRO,"5"
Avenida Corrientes 4200,"27","109445","7004480","4054","259425","1","64",SEGUNDO,ALMAGRO,"5"
PALESTINA 700,"27","71000","4544000","2630","168296","1","64",SEGUNDO,ALMAGRO,"5"
Esteban A Gascon 500,"27","75000","4800000","2778","177778","2","64",SEGUNDO,ALMAGRO,"5"
Yatay 400,"30","68000","4352000","2518","161185","1","64",SEGUNDO,ALMAGRO,"5"
Av M Boedo 382,"27","62000","3968000","2296","146963","1","64",SEGUNDO,ALMAGRO,"5"
Pringles al 200 0,"27","72771","4657344","2695","172494","2","64",SEGUNDO,ALMAGRO,"5"
Virrey Liniers al 400 0,"41","84000","5376000","3000","192000","1","64",SEGUNDO,ALMAGRO,"5"
Humahuaca 3500,"30","88000","5632000","3143","201143","2","64",SEGUNDO,ALMAGRO,"5"
Sarmiento al 3900 0,"32","87000","5568000","3107","198857","1","64",SEGUNDO,ALMAGRO,"5"
MEDRANO y GUARDIA VIEJA 0,"28","124358","7958912","4441","284247","1","64",SEGUNDO,ALMAGRO,"5"
Estado de Palestina 500,"28","83000","5312000","2964","189714","1","64",SEGUNDO,ALMAGRO,"5"
Muñiz al 300 0,"33","97000","6208000","3464","221714","1","64",SEGUNDO,ALMAGRO,"5"
PRINGLES 200,"28","80000","5120000","2857","182857","2","64",SEGUNDO,ALMAGRO,"5"
Humahuaca 3700,"28","115000","7360000","4107","262857","2","64",SEGUNDO,ALMAGRO,"5"
Palestina al 500 0,"30","81000","5184000","2893","185143","1","64",SEGUNDO,ALMAGRO,"5"
HUMAHUACA 3500,"31","90000","5760000","3214","205714","1","64",SEGUNDO,ALMAGRO,"5"
Humahuaca al 3800 0,"28","80000","5120000","2857","182857","2","64",SEGUNDO,ALMAGRO,"5"
Sarmiento 3900,"32","89900","5753600","3211","205486","2","64",SEGUNDO,ALMAGRO,"5"
Av. Corrientes 3841 0,"28","122212","7821568","4365","279342","1","64",SEGUNDO,ALMAGRO,"5"
Humahuaca 3500 0,"31","79000","5056000","2821","180571","1","64",SEGUNDO,ALMAGRO,"5"
Av. Independencia 4000 0,"30","80000","5120000","2857","182857","1","64",SEGUNDO,ALMAGRO,"5"
Mario Bravo al 200 0,"28","82000","5248000","2929","187429","2","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 4500,"35","112726","7214464","4026","257659","1","64",SEGUNDO,ALMAGRO,"5"
Av. Corrientes 3841 0,"28","116899","7481536","4175","267198","1","64",SEGUNDO,ALMAGRO,"5"
Corrientes 3800 0,"28","116899","7481536","4175","267198","1","64",SEGUNDO,ALMAGRO,"5"
Muñiz 164,"32","107000","6848000","3754","240281","2","64",SEGUNDO,ALMAGRO,"5"
MUÑIZ 300,"29","85000","5440000","2943","188366","1","64",SEGUNDO,ALMAGRO,"5"
Rawson 345 0,"32","106852","6838528","3685","235811","1","64",SEGUNDO,ALMAGRO,"5"
Juan Domingo Perón al 3500 0,"31","79000","5056000","2724","174345","1","64",SEGUNDO,ALMAGRO,"5"
Muñiz al 600 0,"32","71000","4544000","2448","156690","1","64",SEGUNDO,ALMAGRO,"5"
MEDRANO 600 0,"45","83000","5312000","2862","183172","1","64",SEGUNDO,ALMAGRO,"5"
"Yatay 749, 8º C 0","35","85000","5440000","2931","187586","1","64",SEGUNDO,ALMAGRO,"5"
HUMAHUACA 3700,"33","99000","6336000","3414","218483","2","64",SEGUNDO,ALMAGRO,"5"
Muñiz 300,"34","75000","4800000","2586","165517","1","64",SEGUNDO,ALMAGRO,"5"
Avenida Díaz Vélez 4000,"29","82900","5305600","2859","182952","2","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 3800,"33","122212","7821568","4214","269709","1","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 3800,"33","123984","7934976","4275","273620","1","64",SEGUNDO,ALMAGRO,"5"
Sarmiento 3600,"29","79000","5056000","2724","174345","2","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 3800,"33","127527","8161728","4398","281439","1","64",SEGUNDO,ALMAGRO,"5"
salguero al 800 0,"29","75000","4800000","2586","165517","2","64",SEGUNDO,ALMAGRO,"5"
diaz velez al 4000 0,"29","82900","5305600","2859","182952","2","64",SEGUNDO,ALMAGRO,"5"
Salguero 800 0,"29","101000","6464000","3483","222897","2","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 3800,"33","116900","7481600","4031","257986","1","64",SEGUNDO,ALMAGRO,"5"
Pringles al 800 0,"29","81000","5184000","2793","178759","2","64",SEGUNDO,ALMAGRO,"5"
Cnel. Pringles 715 5ºB ( Obrero Nuñez - Sarmient,"29","68500","4384000","2362","151172","1","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 3800,"33","125755","8048320","4336","277528","1","64",SEGUNDO,ALMAGRO,"5"
Sarmiento al 4100 0,"29","85000","5440000","2931","187586","1","64",SEGUNDO,ALMAGRO,"5"
YATAY 700 0,"29","94900","6073600","3272","209434","1","64",SEGUNDO,ALMAGRO,"5"
J Salguero 800,"33","88000","5632000","3034","194207","1","64",SEGUNDO,ALMAGRO,"5"
Tte Gral Juan D Peron 3527,"31","85000","5440000","2931","187586","1","64",SEGUNDO,ALMAGRO,"5"
Tte Gral Juan D Peron 4137,"29","62000","3968000","2138","136828","1","64",SEGUNDO,ALMAGRO,"5"
Independencia 3381 - Edificio Sol de Independenci*,"32","63900","4089600","2203","141021","1","64",SEGUNDO,ALMAGRO,"5"
AV Independencia 3800 0,"31","80000","5120000","2759","176552","1","64",SEGUNDO,ALMAGRO,"5"
Sanchez De Bustamante 978,"29","87000","5568000","3000","192000","1","64",SEGUNDO,ALMAGRO,"5"
Domingo F Sarmiento 4547,"30","100000","6400000","3333","213333","2","64",SEGUNDO,ALMAGRO,"5"
PRINGLES 200,"30","83001","5312064","2767","177069","2","64",SEGUNDO,ALMAGRO,"5"
Palestina 500,"30","84500","5408000","2817","180267","1","64",SEGUNDO,ALMAGRO,"5"
LEZICA 4228,"60","87000","5568000","2900","185600","1","64",SEGUNDO,ALMAGRO,"5"
Pte. Peron 3400 0,"30","69000","4416000","2300","147200","2","64",SEGUNDO,ALMAGRO,"5"
BILLINGHURST 600,"30","89000","5696000","2967","189867","2","64",SEGUNDO,ALMAGRO,"5"
Humahuaca al 3500 0,"30","95000","6080000","3167","202667","1","64",SEGUNDO,ALMAGRO,"5"
"MITRE, BARTOLOME 4100","33","89507","5728448","2984","190948","1","64",SEGUNDO,ALMAGRO,"5"
Av Corrientes al 4500 0,"30","99000","6336000","3300","211200","1","64",SEGUNDO,ALMAGRO,"5"
Don Bosco 3500,"31","74000","4736000","2467","157867","2","64",SEGUNDO,ALMAGRO,"5"
Rawson 345 0,"30","108934","6971776","3631","232393","1","64",SEGUNDO,ALMAGRO,"5"
PRINGLES 400 VTA MONOAMBIENTE 0,"34","99000","6336000","3300","211200","1","64",SEGUNDO,ALMAGRO,"5"
Quito 3900,"30","79900","5113600","2663","170453","1","64",SEGUNDO,ALMAGRO,"5"
Yatay 428,"35","55000","3520000","1833","117333","1","64",SEGUNDO,ALMAGRO,"5"
Billinghurst al 200 0,"32","78000","4992000","2600","166400","1","64",SEGUNDO,ALMAGRO,"5"
Lambare 1100 0,"31","70000","4480000","2333","149333","2","64",SEGUNDO,ALMAGRO,"5"
Humahuaca al 3500 0,"30","82000","5248000","2733","174933","1","64",SEGUNDO,ALMAGRO,"5"
Don Bosco 3800 0,"30","63000","4032000","2100","134400","2","64",SEGUNDO,ALMAGRO,"5"
Billinghurst 600,"32","89000","5696000","2967","189867","1","64",SEGUNDO,ALMAGRO,"5"
Muñiz 164,"32","100000","6400000","3333","213333","1","64",SEGUNDO,ALMAGRO,"5"
Avenida Corrientes 4500,"30","99000","6336000","3300","211200","1","64",SEGUNDO,ALMAGRO,"5"
Gallo 800,"40","102000","6528000","3400","217600","1","64",SEGUNDO,ALMAGRO,"5"
Palestina 791,"30","64900","4153600","2163","138453","1","64",SEGUNDO,ALMAGRO,"5"
Palestina 900 0,"30","75000","4800000","2500","160000","1","64",SEGUNDO,ALMAGRO,"5"
Perón al 3500 0,"33","90000","5760000","3000","192000","1","64",SEGUNDO,ALMAGRO,"5"
Honorio Pueyrredon 1182 0,"38","102800","6579200","3427","219307","2","64",SEGUNDO,ALMAGRO,"5"
Av Belgrano 3650,"35","68000","4352000","2267","145067","1","64",SEGUNDO,ALMAGRO,"5"
Dr F Muñiz 164,"34","118000","7552000","3933","251733","2","64",SEGUNDO,ALMAGRO,"5"
Av. Belgrano 4000,"31","77500","4960000","2583","165333","2","64",SEGUNDO,ALMAGRO,"5"
BILLINGHURST 200,"30","78000","4992000","2600","166400","1","64",SEGUNDO,ALMAGRO,"5"
QUITO 4300,"33","90700","5804800","3023","193493","1","64",SEGUNDO,ALMAGRO,"5"
"MITRE, BARTOLOME 4100","33","87447","5596608","2915","186554","1","64",SEGUNDO,ALMAGRO,"5"
BILLINGHURST al 200 0,"30","78000","4992000","2600","166400","1","64",SEGUNDO,ALMAGRO,"5"
Humahuaca al 3900 0,"30","84000","5376000","2800","179200","2","64",SEGUNDO,ALMAGRO,"5"
Yatay y Av. Rivadavia 0,"30","89000","5696000","2967","189867","2","64",SEGUNDO,ALMAGRO,"5"
Mario Bravo 900,"32","100000","6400000","3333","213333","2","64",SEGUNDO,ALMAGRO,"5"
Independencia 3300 0,"33","73900","4729600","2463","157653","1","64",SEGUNDO,ALMAGRO,"5"
"BOEDO, AVDA. 300","39","83000","5312000","2767","177067","2","64",SEGUNDO,ALMAGRO,"5"
LEZICA 4228,"30","87000","5568000","2900","185600","1","64",SEGUNDO,ALMAGRO,"5"
MUÑIZ 379,"30","90000","5760000","3000","192000","1","64",SEGUNDO,ALMAGRO,"5"
Yatay 1001,"30","79500","5088000","2650","169600","2","64",SEGUNDO,ALMAGRO,"5"
"Guardia Vieja 4200 6° ""B"" 0","40","92000","5888000","2968","189935","1","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 3800,"35","132452","8476928","4273","273449","1","64",SEGUNDO,ALMAGRO,"5"
BULNES 771 0,"31","77000","4928000","2484","158968","2","64",SEGUNDO,ALMAGRO,"5"
Pje Inca 3880,"41","112000","7168000","3613","231226","1","64",SEGUNDO,ALMAGRO,"5"
Palestina 800,"31","87000","5568000","2806","179613","1","64",SEGUNDO,ALMAGRO,"5"
"Bulnes 100, 3º Piso 0","35","75000","4800000","2419","154839","2","64",SEGUNDO,ALMAGRO,"5"
HUMAHUACA 4200 0,"33","106600","6822400","3439","220077","1","64",SEGUNDO,ALMAGRO,"5"
Colombres 200 0,"36","82000","5248000","2645","169290","1","64",SEGUNDO,ALMAGRO,"5"
Don Bosco 3800,"31","78000","4992000","2516","161032","2","64",SEGUNDO,ALMAGRO,"5"
Yatay 700,"31","66168","4234752","2134","136605","1","64",SEGUNDO,ALMAGRO,"5"
Rawson 40 6 A 0,"31","81000","5184000","2613","167226","2","64",SEGUNDO,ALMAGRO,"5"
Sanchez de bustamanete 431 0,"31","58999","3775936","1903","121804","1","64",SEGUNDO,ALMAGRO,"5"
Colombres 200 0,"36","80000","5120000","2581","165161","1","64",SEGUNDO,ALMAGRO,"5"
Colombres 200 0,"36","85000","5440000","2742","175484","1","64",SEGUNDO,ALMAGRO,"5"
Pringles 400 0,"31","80000","5120000","2581","165161","2","64",SEGUNDO,ALMAGRO,"5"
Pje Inca 3880,"35","110000","7040000","3548","227097","1","64",SEGUNDO,ALMAGRO,"5"
Pje Inca 3880,"35","112000","7168000","3613","231226","1","64",SEGUNDO,ALMAGRO,"5"
Sanchez de bustamante 800 0,"36","85000","5440000","2742","175484","1","64",SEGUNDO,ALMAGRO,"5"
Bartolome Mitre y Yatay 0,"31","90000","5760000","2903","185806","1","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 4300 0,"31","74000","4736000","2387","152774","2","64",SEGUNDO,ALMAGRO,"5"
Rawson 200,"34","75000","4800000","2419","154839","2","64",SEGUNDO,ALMAGRO,"5"
CORRIENTES 3800,"35","130637","8360768","4214","269702","1","64",SEGUNDO,ALMAGRO,"5"
Diaz  Velez 3600,"31","99000","6336000","3194","204387","1","64",SEGUNDO,ALMAGRO,"5"
Independencia 3300,"31","82000","5248000","2645","169290","1","64",SEGUNDO,ALMAGRO,"5"
AV INDEPENDENCIA 3300,"31","82000","5248000","2645","169290","1","64",SEGUNDO,ALMAGRO,"5"
Mario Bravo al 200 0,"31","75000","4800000","2419","154839","2","64",SEGUNDO,ALMAGRO,"5"
CASTRO al 500 0,"31","60000","3840000","1936","123871","2","64",SEGUNDO,ALMAGRO,"5"
Castro Barros 350 0,"31","100000","6400000","3226","206452","1","64",SEGUNDO,ALMAGRO,"5"
Av M Boedo 394,"31","60000","3840000","1936","123871","2","64",SEGUNDO,ALMAGRO,"5"
Bartolome Mitre 4431 0,"34","89500","5728000","2887","184774","1","64",SEGUNDO,ALMAGRO,"5"
Av. La Plata al 300 0,"20","59000","3776000","2950","188800","1","64",SEGUNDO,CABALLITO,"6"
Av La Plata al 500 0,"22","50000","3200000","2273","145455","1","64",SEGUNDO,CABALLITO,"6"
Av La Plata al 500 0,"22","54000","3456000","2454","157091","1","64",SEGUNDO,CABALLITO,"6"
Rio De Janeiro 557,"23","75000","4800000","3310","211827","1","64",SEGUNDO,CABALLITO,"6"
Rio de Janeiro 500 0,"23","62000","3968000","2696","172522","1","64",SEGUNDO,CABALLITO,"6"
Rio De Janeiro 500,"25","70000","4480000","2800","179200","1","64",SEGUNDO,CABALLITO,"6"
Rio de janeiro 323,"28","78000","4992000","2786","178286","2","64",SEGUNDO,CABALLITO,"6"
B Mitre 4400,"34","94000","6016000","3133","200533","1","64",SEGUNDO,CABALLITO,"6"
CORDOBA 3400,"24","78000","4992000","3197","204590","1","64",SEGUNDO,RECOLETA,"2"
Av Cordoba 3400,"50","78000","4992000","3120","199680","1","64",SEGUNDO,RECOLETA,"2"
Av. Cordoba al 3400 0,"25","78000","4992000","3120","199680","1","64",SEGUNDO,RECOLETA,"2"
Estado de Israel 4600,"26","72000","4608000","2769","177231","2","64",SEGUNDO,VILLA CRESPO,"15"
Av Estado De Israel 4300,"32","90000","5760000","3103","198621","1","64",SEGUNDO,VILLA CRESPO,"15"
AV. ESTADO DE ISRAEL 4600 0,"30","80000","5120000","2667","170667","1","64",SEGUNDO,VILLA CRESPO,"15"
AV. Estado DE Israel 4300 0,"33","89500","5728000","2983","190933","1","64",SEGUNDO,VILLA CRESPO,"15"
Avenida Estado de Israel al 4600 0,"30","94999","6079936","3167","202665","1","64",SEGUNDO,VILLA CRESPO,"15"
guardia vieja 4600 0,"31","86000","5504000","2774","177548","2","64",SEGUNDO,VILLA CRESPO,"15"
Rocamora al 4300 c/cochera 0,"31","122000","7808000","3936","251871","1","64",SEGUNDO,ALMAGRO,"5"
BARTOLOME MITRE 3400,"31","80300","5139200","2570","164454","2","64",SEGUNDO,ALMAGRO,"5"
BARTOLOME MITRE 3400,"31","82125","5256000","2628","168192","2","64",SEGUNDO,ALMAGRO,"5"
BARTOLOME MITRE 3400,"31","85775","5489600","2745","175667","2","64",SEGUNDO,ALMAGRO,"5"
BARTOLOME MITRE 3400,"31","87600","5606400","2803","179405","2","64",SEGUNDO,ALMAGRO,"5"
BARTOLOME MITRE 3400,"36","80000","5120000","2560","163840","2","64",SEGUNDO,ALMAGRO,"5"
BARTOLOME MITRE 3400,"31","83950","5372800","2686","171930","2","64",SEGUNDO,ALMAGRO,"5"
SALGUERO 246,"32","110000","7040000","3438","220000","1","64",SEGUNDO,ALMAGRO,"5"
Av Rivadavia 3300,"37","104500","6688000","3266","209000","1","64",SEGUNDO,ALMAGRO,"5"
Venezuela 4100,"36","83800","5363200","2619","167600","2","64",SEGUNDO,ALMAGRO,"5"
Gallo 800,"35","97500","6240000","3047","195000","1","64",SEGUNDO,ALMAGRO,"5"
Avenida Rivadavia 3300,"36","85000","5440000","2656","170000","2","64",SEGUNDO,ALMAGRO,"5"
"Francisco Acuña de Figueroa 400, C1180AAG CABA 0","45","101160","6474240","3161","202320","2","64",SEGUNDO,ALMAGRO,"5"
Acuña de Figueroa al 400 0,"32","93700","5996800","2928","187400","2","64",SEGUNDO,ALMAGRO,"5"
Virrey Liniers 61,"32","79500","5088000","2484","159000","1","64",SEGUNDO,ALMAGRO,"5"
GUARDIA VIEJA 3700,"32","91758","5872512","2867","183516","2","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 3800,"37","129500","8288000","4047","259000","1","64",SEGUNDO,ALMAGRO,"5"
Av Rivadavia 3300,"37","102500","6560000","3203","205000","1","64",SEGUNDO,ALMAGRO,"5"
Yatay 100 0,"32","75000","4800000","2344","150000","2","64",SEGUNDO,ALMAGRO,"5"
Av. Boedo 507,"35","85000","5440000","2656","170000","1","64",SEGUNDO,ALMAGRO,"5"
Honorio Pueyrredon 1182 0,"40","95202","6092928","2975","190404","2","64",SEGUNDO,ALMAGRO,"5"
"ACUÑA DE FIGUEROA, FCO. 400 0","32","100300","6419200","3134","200600","2","64",SEGUNDO,ALMAGRO,"5"
"Francisco Acuña de Figueroa 400, C1180AAG CABA 0","32","95410","6106240","2982","190820","2","64",SEGUNDO,ALMAGRO,"5"
"Francisco Acuña de Figueroa 400, C1180AAG CABA 0","32","88830","5685120","2776","177660","2","64",SEGUNDO,ALMAGRO,"5"
GUARDIA VIEJA 3700,"32","98397","6297408","3075","196794","2","64",SEGUNDO,ALMAGRO,"5"
Don Bosco 3709,"52","120000","7680000","3750","240000","2","64",SEGUNDO,ALMAGRO,"5"
GUARDIA VIEJA 3700,"32","88401","5657664","2762","176802","2","64",SEGUNDO,ALMAGRO,"5"
Av Gral Diaz Velez 4100,"35","94900","6073600","2966","189800","2","64",SEGUNDO,ALMAGRO,"5"
Tucuman al 3300 0,"34","89000","5696000","2781","178000","1","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 3800,"36","135000","8640000","4219","270000","1","64",SEGUNDO,ALMAGRO,"5"
PERON 3400,"32","83000","5312000","2594","166000","2","64",SEGUNDO,ALMAGRO,"5"
"Guardia Vieja 4200 6° ""A"" 0","40","91500","5856000","2859","183000","1","64",SEGUNDO,ALMAGRO,"5"
Billinghurst 257,"32","78000","4992000","2438","156000","1","64",SEGUNDO,ALMAGRO,"5"
J Salguero 500,"32","70000","4480000","2188","140000","2","64",SEGUNDO,ALMAGRO,"5"
GUARDIA VIEJA  E/ RAWSON 4200,"34","84900","5433600","2653","169800","2","64",SEGUNDO,ALMAGRO,"5"
GALLO AL 500  Y GUARDIA VIEJA 0,"35","77900","4985600","2434","155800","1","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 3750,"32","88400","5657600","2737","175158","1","64",SEGUNDO,ALMAGRO,"5"
GUARDIA VIEJA 3750,"33","90480","5790720","2767","177086","1","64",SEGUNDO,ALMAGRO,"5"
GASCON Y SARMIENTO 0,"33","74900","4793600","2270","145261","2","64",SEGUNDO,ALMAGRO,"5"
Colombres 100,"33","63123","4039872","1913","122420","2","64",SEGUNDO,ALMAGRO,"5"
Bartolomé Mitre 4118,"33","80000","5120000","2424","155152","2","64",SEGUNDO,ALMAGRO,"5"
Castro Barros 500,"59","135000","8640000","4091","261818","1","64",SEGUNDO,ALMAGRO,"5"
Humahuaca 3900,"33","85000","5440000","2576","164848","2","64",SEGUNDO,ALMAGRO,"5"
Rawson 279,"40","109500","7008000","3318","212364","1","64",SEGUNDO,ALMAGRO,"5"
Domingo F Sarmiento 4100,"33","87000","5568000","2636","168727","1","64",SEGUNDO,ALMAGRO,"5"
Guardia Vieja 4300 0,"33","90000","5760000","2727","174545","2","64",SEGUNDO,ALMAGRO,"5"
POTOSI 3900,"33","72990","4671360","2212","141556","1","64",SEGUNDO,ALMAGRO,"5"
Esteban A Gascon 600,"36","92000","5888000","2788","178424","1","64",SEGUNDO,ALMAGRO,"5"
Q Bocayuva 600,"33","69900","4473600","2118","135564","2","64",SEGUNDO,ALMAGRO,"5"
Av Corrientes 3800,"37","116899","7481536","3542","226713","2","64",SEGUNDO,ALMAGRO,"5"
Salguero 800,"33","93000","5952000","2818","180364","1","64",SEGUNDO,ALMAGRO,"5"
Humahuaca al 3500 0,"35","82000","5248000","2485","159030","1","64",SEGUNDO,ALMAGRO,"5"
Juan Agustin Maza 500,"35","82900","5305600","2512","160776","1","64",SEGUNDO,ALMAGRO,"5"
Tte Gral Juan D Peron 3400,"33","77900","4985600","2361","151079","2","64",SEGUNDO,ALMAGRO,"5"
Tucuman 3300,"33","75000","4800000","2273","145455","2","64",SEGUNDO,ALMAGRO,"5"
Avenida Corrientes 4200,"33","79000","5056000","2394","153212","2","64",SEGUNDO,ALMAGRO,"5"
Dr F Muñiz 164,"39","112000","7168000","3394","217212","1","64",SEGUNDO,ALMAGRO,"5"
HUMAHUACA 3500,"36","98000","6272000","2970","190061","1","64",SEGUNDO,ALMAGRO,"5"
Bulnes 700,"33","82000","5248000","2485","159030","2","64",SEGUNDO,ALMAGRO,"5"
HUMAHUACA al 3900 0,"33","85000","5440000","2576","164848","2","64",SEGUNDO,ALMAGRO,"5"
Humahuaca 4200,"36","104000","6656000","3152","201697","2","64",SEGUNDO,ALMAGRO,"5"
Castro Barros 200,"38","105000","6720000","3182","203636","1","64",SEGUNDO,ALMAGRO,"5"
Avenida Corrientes 4200,"33","110000","7040000","3333","213333","1","64",SEGUNDO,ALMAGRO,"5"
Billinghurst 300,"33","98000","6272000","2970","190061","1","64",SEGUNDO,ALMAGRO,"5"
Domingo F Sarmiento 4100,"35","87000","5568000","2636","168727","1","64",SEGUNDO,ALMAGRO,"5"
Salguero 800,"33","99500","6368000","3015","192970","1","64",SEGUNDO,ALMAGRO,"5"
Bulnes 400 0,"33","74000","4736000","2242","143515","2","64",SEGUNDO,ALMAGRO,"5"
Castro Barros 100 0,"35","86000","5504000","2606","166788","1","64",SEGUNDO,ALMAGRO,"5"
Acuña De Figueroa 400,"33","100300","6419200","3039","194521","2","64",SEGUNDO,ALMAGRO,"5"
