m2,ambientes,barrio,usd_m2,precio_usd
29.0,1,CABALLITO,1350,39150
71.0,3,BELGRANO,5192,332300
68.0,3,RECOLETA,3971,270000
59.0,3,VILLA CRESPO,2203,130000
41.0,2,COLEGIALES,3552,145618
60.0,2,VILLA URQUIZA,3394,203642
45.0,2,ALMAGRO,2024,85000
162.0,2,PALERMO,4865,360000
155.0,4,CABALLITO,3355,520000
40.0,2,BALVANERA,2875,115000
68.0,3,VILLA URQUIZA,4113,255000
31.0,1,VILLA CRESPO,1871,58000
33.0,1,ALMAGRO,2697,89000
84.0,3,VILLA URQUIZA,2381,200000
26.0,1,BALVANERA,3038,79000
128.0,3,RECOLETA,1234,158000
60.0,3,RECOLETA,3317,199000
114.0,4,FLORES NORTE,4811,428200
82.0,2,VILLA URQUIZA,3329,273000
70.0,4,FLORES NORTE,1843,129000
88.0,3,BELGRANO,3239,285000
46.0,3,VILLA CRESPO,2273,100000
64.0,3,FLORES NORTE,2203,141000
40.0,2,VILLA URQUIZA,5200,208000
28.0,1,COLEGIALES,3017,84480
50.0,2,COLEGIALES,3150,157500
55.0,3,BALVANERA,2182,120000
47.0,2,COLEGIALES,3894,183000
113.0,4,BALVANERA,1434,162000
25.0,1,COLEGIALES,2755,68880
105.0,4,BELGRANO,3333,350000
45.0,3,VILLA CRESPO,1887,84900
120.0,4,BALVANERA,1627,179000
37.0,1,VILLA URQUIZA,3438,110000
62.0,3,COLEGIALES,4032,250000
105.0,4,BALVANERA,1238,130000
46.0,2,FLORES NORTE,4228,160650
166.0,4,CABALLITO,2199,365000
113.0,4,RECOLETA,1681,190000
73.0,3,ALMAGRO,2816,205588
50.0,2,BALVANERA,1907,95355
46.0,2,CABALLITO,3022,139000
36.0,1,PALERMO,3454,124341
52.0,2,CABALLITO,2888,150150
70.0,3,COLEGIALES,3571,250000
48.0,2,VILLA URQUIZA,2772,127500
148.0,4,RECOLETA,2649,392000
42.0,2,BALVANERA,2453,97000
90.0,4,VILLA CRESPO,2722,245000
69.0,3,ALMAGRO,2608,159100
21.0,2,FLORES NORTE,3762,79000
49.0,2,VILLA URQUIZA,3041,149000
118.0,3,RECOLETA,2754,325000
53.0,2,PALERMO,4434,235000
180.0,2,FLORES NORTE,2300,138000
94.0,3,CABALLITO,2769,224300
25.0,1,VILLA URQUIZA,3200,80000
79.0,3,VILLA CRESPO,3351,248000
40.0,1,PALERMO,2961,109542
86.0,4,BELGRANO,4058,349000
37.0,2,FLORES NORTE,2622,97000
80.0,3,ALMAGRO,3125,250000
53.0,2,ALMAGRO,2800,140000
70.0,4,ALMAGRO,3071,215000
61.0,2,ALMAGRO,2279,139000
